stream_id,frame_id,detection_count,candidate_region_count,total_candidate_area,largest_candidate_area,coverage_percentage,unexplained_percentage,average_confidence,notes
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,0,2,0,0,0,33.36048779823722,66.63951220176278,0.42968888580799103,Normal
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,20,2,1,897,897,27.816674056959712,72.18332594304029,0.4547416418790817,Normal
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,40,3,1,28775,28775,16.65483976677791,83.34516023322209,0.6325731873512268,Large gap
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,60,2,4,49316,35958,3.6609299516908216,96.33907004830918,0.4179452061653137,"Large gap, Multi-gap obstacle, Low confidence overlay"
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,80,2,1,43858,43858,26.00362124359184,73.99637875640816,0.5865021646022797,Large gap
-PqSDmiEe2pXjmYHgxh4YEBsj0T5LU10,0,1,0,0,0,0.12367801271130405,99.87632198728869,0.36628463864326477,Normal
-PqSDmiEe2pXjmYHgxh4YEBsj0T5LU10,20,1,0,0,0,0.09359417178152739,99.90640582821847,0.4120538830757141,Normal
-PqSDmiEe2pXjmYHgxh4YEBsj0T5LU10,40,3,0,0,0,0.9053108979595014,99.0946891020405,0.4575205445289612,Normal
-PqSDmiEe2pXjmYHgxh4YEBsj0T5LU10,60,4,0,0,0,1.63346139933254,98.36653860066745,0.48944372683763504,Normal
-PqSDmiEe2pXjmYHgxh4YEBsj0T5LU10,80,4,1,27846,27846,2.7012250383128356,97.29877496168716,0.6870419383049011,Large gap
-aAwyxNyh11M5W0DQ8YPcSfdkbvvctaV,0,8,0,0,0,10.37108508950034,89.62891491049966,0.6060769148170948,Normal
-aAwyxNyh11M5W0DQ8YPcSfdkbvvctaV,20,9,0,0,0,15.034931289722827,84.96506871027717,0.6258765856424967,Normal
-aAwyxNyh11M5W0DQ8YPcSfdkbvvctaV,40,9,0,0,0,23.26374302784196,76.73625697215803,0.6592711740069919,Normal
-aAwyxNyh11M5W0DQ8YPcSfdkbvvctaV,60,8,0,0,0,24.686617540666063,75.31338245933394,0.7020890302956104,Normal
-aAwyxNyh11M5W0DQ8YPcSfdkbvvctaV,80,8,0,0,0,8.919099142726008,91.08090085727399,0.638539481908083,Normal
0auMnLmZDf_ZGM3VqzxmYPlwhtls73RF,0,1,0,0,0,1.4567872062358518,98.54321279376416,0.8447579145431519,Normal
0auMnLmZDf_ZGM3VqzxmYPlwhtls73RF,20,1,0,0,0,2.6671300185924216,97.33286998140758,0.8939076066017151,Normal
0auMnLmZDf_ZGM3VqzxmYPlwhtls73RF,40,1,0,0,0,9.955016453126095,90.04498354687391,0.9290235638618469,Normal
0auMnLmZDf_ZGM3VqzxmYPlwhtls73RF,60,0,0,0,0,0.0,100.0,0.0,Normal
0auMnLmZDf_ZGM3VqzxmYPlwhtls73RF,80,1,0,0,0,0.14039125767229108,99.85960874232771,0.3785282075405121,Normal
0pf0qM0kG_5fZ0HLO2CDDXmfuMG8aiyR,0,5,0,0,0,20.607187935152123,79.39281206484787,0.8291550278663635,Normal
0pf0qM0kG_5fZ0HLO2CDDXmfuMG8aiyR,20,10,0,0,0,19.507638743027844,80.49236125697216,0.5964473098516464,Normal
0pf0qM0kG_5fZ0HLO2CDDXmfuMG8aiyR,40,2,0,0,0,38.89785934327523,61.10214065672477,0.9276692867279053,Normal
0pf0qM0kG_5fZ0HLO2CDDXmfuMG8aiyR,60,2,0,0,0,13.23828784413483,86.76171215586517,0.6069987714290619,Normal
0pf0qM0kG_5fZ0HLO2CDDXmfuMG8aiyR,80,2,0,0,0,13.380927792947329,86.61907220705267,0.6789942383766174,Normal
0xCqEk5hjEvrygxu26MZkieSv45D_gaJ,0,6,0,0,0,19.26143745089345,80.73856254910655,0.6014525294303894,Normal
0xCqEk5hjEvrygxu26MZkieSv45D_gaJ,20,7,0,0,0,11.139833582269521,88.86016641773048,0.6173865880284991,Normal
0xCqEk5hjEvrygxu26MZkieSv45D_gaJ,40,10,1,9483,9483,13.217441869510763,86.78255813048924,0.5094069182872772,Large gap
0xCqEk5hjEvrygxu26MZkieSv45D_gaJ,60,7,1,8714,8714,7.974588088403464,92.02541191159654,0.5804592285837445,Large gap
0xCqEk5hjEvrygxu26MZkieSv45D_gaJ,80,7,2,69727,67488,0.0,100.0,0.4984920450619289,Large gap
0zEhKDk1j7KSuUQYR_rmCLmlbb5FCYG6,0,1,0,0,0,0.513066232584191,99.4869337674158,0.5061811804771423,Normal
0zEhKDk1j7KSuUQYR_rmCLmlbb5FCYG6,20,2,0,0,0,1.81706399215851,98.18293600784149,0.9007337689399719,Normal
0zEhKDk1j7KSuUQYR_rmCLmlbb5FCYG6,40,3,0,0,0,0.9006919648066467,99.09930803519336,0.5873488485813141,Normal
0zEhKDk1j7KSuUQYR_rmCLmlbb5FCYG6,60,2,0,0,0,1.4748375107937175,98.52516248920628,0.6955780982971191,Normal
0zEhKDk1j7KSuUQYR_rmCLmlbb5FCYG6,80,3,0,0,0,3.0565790139015303,96.94342098609847,0.5952197909355164,Normal
0zlY0PpjObYEKA2MIUXUzaBtrG1EeXGm,0,0,0,0,0,0.0,100.0,0.0,Normal
0zlY0PpjObYEKA2MIUXUzaBtrG1EeXGm,20,0,0,0,0,0.0,100.0,0.0,Normal
0zlY0PpjObYEKA2MIUXUzaBtrG1EeXGm,40,0,0,0,0,0.0,100.0,0.0,Normal
0zlY0PpjObYEKA2MIUXUzaBtrG1EeXGm,60,0,0,0,0,0.0,100.0,0.0,Normal
0zlY0PpjObYEKA2MIUXUzaBtrG1EeXGm,80,0,0,0,0,0.0,100.0,0.0,Normal
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,0,6,1,1152,1152,58.54102366255144,41.45897633744856,0.5595758656660715,Normal
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,20,1,1,127742,127742,0.7085905349794239,99.29140946502058,0.38967713713645935,"Large gap, Low confidence overlay"
11tnj2tdX_ElmqXEv6kwSXI34_ZWXv-N,40,1,2,25226,19524,0.5451871141975309,99.45481288580247,0.3985326290130615,"Large gap, Low confidence overlay"
