epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.315,1.64274,2.27907,0.02195,0.72033,0.29466,0.25262,0.16905,1.49646,3.53088,0.03162,0.000166171,0.000166171,0.000166171
2,176.143,1.48406,1.31007,0.01799,0.56451,0.3548,0.28854,0.18391,1.54609,1.83698,0.0308,0.000329542,0.000329542,0.000329542
3,248.761,1.44385,0.66385,0.01757,0.6073,0.40953,0.36792,0.23481,1.4792,0.86749,0.02881,0.000489614,0.000489614,0.000489614
4,313.23,1.43682,0.33727,0.01739,0.62676,0.42283,0.40701,0.2576,1.47581,0.4614,0.02816,0.00048515,0.00048515,0.00048515
5,383.189,1.43803,0.21155,0.01698,0.65974,0.47227,0.44889,0.27274,1.54074,0.27906,0.0289,0.0004802,0.0004802,0.0004802
6,454.215,1.44393,0.14753,0.01701,0.71739,0.45147,0.46464,0.29071,1.51042,0.1989,0.02955,0.00047525,0.00047525,0.00047525
7,523.992,1.4149,0.11284,0.01679,0.72932,0.46688,0.50055,0.31446,1.45671,0.14066,0.02801,0.0004703,0.0004703,0.0004703
8,592.234,1.4035,0.09612,0.01629,0.71788,0.46264,0.47349,0.29906,1.49269,0.12064,0.02909,0.00046535,0.00046535,0.00046535
9,664.503,1.39412,0.08642,0.01634,0.71283,0.482,0.48421,0.30167,1.51356,0.10547,0.0291,0.0004604,0.0004604,0.0004604
10,738.065,1.40045,0.07767,0.01626,0.73223,0.50642,0.51449,0.32506,1.4984,0.08639,0.02865,0.00045545,0.00045545,0.00045545
11,809.11,1.3683,0.06855,0.01589,0.73435,0.50881,0.51565,0.33327,1.50727,0.07306,0.02932,0.0004505,0.0004505,0.0004505
12,884.081,1.38811,0.06446,0.01599,0.74604,0.50465,0.50944,0.32583,1.46667,0.06712,0.02825,0.00044555,0.00044555,0.00044555
13,954.874,1.35657,0.06097,0.01561,0.7788,0.50124,0.52668,0.33348,1.47853,0.06035,0.02776,0.0004406,0.0004406,0.0004406
14,1032.1,1.3612,0.05966,0.01561,0.78281,0.50898,0.53126,0.34278,1.45244,0.05753,0.02738,0.00043565,0.00043565,0.00043565
15,1102.85,1.35009,0.0569,0.01528,0.77504,0.49472,0.51397,0.33246,1.48765,0.05801,0.02856,0.0004307,0.0004307,0.0004307
16,1176.51,1.34357,0.05654,0.01533,0.76401,0.54822,0.54485,0.35597,1.45297,0.0527,0.02826,0.00042575,0.00042575,0.00042575
17,1247.72,1.35504,0.05636,0.01542,0.76174,0.547,0.54299,0.35557,1.44193,0.05294,0.02755,0.0004208,0.0004208,0.0004208
18,1321.49,1.35151,0.05395,0.01544,0.80349,0.53636,0.55748,0.35987,1.42947,0.05128,0.02729,0.00041585,0.00041585,0.00041585
19,1392.13,1.33568,0.05293,0.01526,0.8031,0.5329,0.56426,0.36569,1.44433,0.04867,0.02764,0.0004109,0.0004109,0.0004109
20,1463.8,1.34793,0.05239,0.01547,0.79059,0.54531,0.55358,0.36666,1.42481,0.04709,0.02703,0.00040595,0.00040595,0.00040595
21,1529.76,1.33159,0.05042,0.01503,0.79913,0.5277,0.56016,0.36375,1.46085,0.04545,0.02742,0.000401,0.000401,0.000401
22,1603.09,1.339,0.05045,0.01543,0.80069,0.54213,0.56006,0.36087,1.44922,0.04442,0.02771,0.00039605,0.00039605,0.00039605
23,1668.95,1.32149,0.04898,0.01511,0.79763,0.55231,0.57179,0.36905,1.44979,0.04349,0.02773,0.0003911,0.0003911,0.0003911
24,1737.17,1.32785,0.04883,0.01512,0.79775,0.55554,0.57689,0.37424,1.43872,0.04224,0.0277,0.00038615,0.00038615,0.00038615
25,1808.35,1.32199,0.04797,0.01522,0.83256,0.52419,0.57902,0.37193,1.4573,0.04286,0.02745,0.0003812,0.0003812,0.0003812
26,1877.68,1.31954,0.0479,0.01489,0.81568,0.5433,0.56444,0.37167,1.43519,0.04296,0.02762,0.00037625,0.00037625,0.00037625
27,1947.33,1.30531,0.04728,0.01467,0.83898,0.53931,0.58338,0.37613,1.45017,0.04084,0.02698,0.0003713,0.0003713,0.0003713
28,2015.02,1.3134,0.04775,0.01543,0.79773,0.54086,0.57987,0.37236,1.40027,0.04177,0.02578,0.00036635,0.00036635,0.00036635
29,2082.76,1.29878,0.04644,0.01481,0.81984,0.53354,0.57422,0.3708,1.42594,0.04211,0.0268,0.0003614,0.0003614,0.0003614
30,2152,1.30771,0.04654,0.01501,0.84745,0.53216,0.58695,0.38798,1.43621,0.04085,0.02739,0.00035645,0.00035645,0.00035645
31,2219.92,1.30934,0.0463,0.01494,0.81204,0.55713,0.58971,0.38645,1.4437,0.04002,0.02757,0.0003515,0.0003515,0.0003515
32,2286.29,1.31504,0.0448,0.0145,0.81317,0.55174,0.58771,0.38269,1.41261,0.04022,0.02697,0.00034655,0.00034655,0.00034655
33,2355.71,1.28143,0.04518,0.01455,0.83505,0.55325,0.5954,0.39461,1.40452,0.03992,0.0263,0.0003416,0.0003416,0.0003416
34,2423.91,1.29939,0.04499,0.01459,0.83518,0.55481,0.59864,0.39681,1.3923,0.03878,0.02615,0.00033665,0.00033665,0.00033665
35,2490.93,1.29259,0.04429,0.0148,0.82048,0.54595,0.59458,0.39442,1.41055,0.03828,0.02674,0.0003317,0.0003317,0.0003317
36,2558.47,1.27422,0.04334,0.01405,0.6489,0.59519,0.59968,0.39781,1.43031,0.0377,0.0273,0.00032675,0.00032675,0.00032675
37,2625.94,1.28435,0.04401,0.01459,0.81807,0.56393,0.5941,0.39151,1.42383,0.03786,0.02703,0.0003218,0.0003218,0.0003218
38,2697.19,1.26554,0.04359,0.01418,0.8406,0.54563,0.60378,0.3956,1.40227,0.03868,0.02696,0.00031685,0.00031685,0.00031685
39,2762.4,1.25843,0.04248,0.01388,0.78858,0.57518,0.5952,0.38969,1.40481,0.03843,0.0267,0.0003119,0.0003119,0.0003119
40,2830.27,1.28647,0.0437,0.01454,0.83297,0.54459,0.59378,0.39247,1.41175,0.03848,0.02709,0.00030695,0.00030695,0.00030695
41,2898.38,1.26182,0.04349,0.0144,0.81112,0.5669,0.60303,0.39574,1.40786,0.03745,0.02679,0.000302,0.000302,0.000302
42,2965.9,1.2662,0.04314,0.01409,0.55082,0.59201,0.60451,0.39591,1.3927,0.03827,0.02637,0.00029705,0.00029705,0.00029705
43,3033.27,1.26914,0.04315,0.01445,0.83876,0.56143,0.60752,0.39593,1.42207,0.03702,0.02709,0.0002921,0.0002921,0.0002921
44,3108.72,1.24993,0.0427,0.01405,0.82594,0.56735,0.60442,0.39569,1.39495,0.03657,0.02627,0.00028715,0.00028715,0.00028715
45,3178.56,1.26645,0.04272,0.01432,0.83832,0.5807,0.61541,0.40608,1.42306,0.03559,0.02738,0.0002822,0.0002822,0.0002822
46,3248.82,1.24286,0.04228,0.01413,0.83453,0.56486,0.61199,0.40035,1.40927,0.03694,0.02682,0.00027725,0.00027725,0.00027725
47,3316.82,1.25108,0.04251,0.01399,0.81543,0.58293,0.61191,0.4027,1.3939,0.03761,0.02642,0.0002723,0.0002723,0.0002723
48,3381.65,1.24487,0.04246,0.01411,0.83542,0.55898,0.60831,0.40032,1.37888,0.03675,0.02592,0.00026735,0.00026735,0.00026735
49,3450.22,1.2435,0.04263,0.01412,0.61645,0.60334,0.62056,0.40885,1.3927,0.03662,0.02665,0.0002624,0.0002624,0.0002624
50,3519.5,1.2331,0.04194,0.01412,0.82293,0.58857,0.61772,0.41161,1.37969,0.03695,0.02603,0.00025745,0.00025745,0.00025745
51,3587.84,1.23038,0.04144,0.0137,0.69828,0.60486,0.62644,0.41324,1.38122,0.03634,0.02655,0.0002525,0.0002525,0.0002525
52,3659.82,1.23077,0.04098,0.01364,0.58366,0.58633,0.62496,0.4125,1.38926,0.03528,0.02642,0.00024755,0.00024755,0.00024755
53,3727.49,1.22223,0.04054,0.01348,0.60201,0.62033,0.63107,0.41413,1.3866,0.03541,0.02636,0.0002426,0.0002426,0.0002426
54,3794.39,1.21877,0.0414,0.01375,0.63591,0.58476,0.62081,0.41378,1.39852,0.03557,0.02669,0.00023765,0.00023765,0.00023765
55,3859.71,1.22475,0.04011,0.01372,0.60682,0.62752,0.62059,0.40881,1.38981,0.03614,0.02635,0.0002327,0.0002327,0.0002327
56,3929.02,1.22401,0.04067,0.01363,0.585,0.62368,0.61766,0.41292,1.40003,0.03564,0.02687,0.00022775,0.00022775,0.00022775
57,3995.96,1.21649,0.04025,0.01354,0.62046,0.5923,0.61791,0.41147,1.38935,0.03529,0.0264,0.0002228,0.0002228,0.0002228
58,4065.06,1.23139,0.04144,0.01394,0.64304,0.59342,0.61954,0.41386,1.3799,0.03587,0.02619,0.00021785,0.00021785,0.00021785
59,4132.43,1.20351,0.04009,0.01333,0.64554,0.62019,0.62456,0.4158,1.39098,0.0359,0.02659,0.0002129,0.0002129,0.0002129
60,4198.5,1.21254,0.04041,0.01358,0.61642,0.63338,0.6238,0.41557,1.40176,0.03538,0.02687,0.00020795,0.00020795,0.00020795
61,4265.77,1.21703,0.03999,0.01361,0.6058,0.63952,0.62954,0.41468,1.38625,0.03555,0.02627,0.000203,0.000203,0.000203
62,4333.45,1.19521,0.03849,0.01296,0.62426,0.61525,0.62159,0.40982,1.40141,0.03521,0.02678,0.00019805,0.00019805,0.00019805
63,4401.9,1.19564,0.03931,0.01325,0.64043,0.62698,0.62541,0.41522,1.38081,0.03524,0.02629,0.0001931,0.0001931,0.0001931
64,4470,1.20487,0.03999,0.01357,0.62475,0.62325,0.62673,0.41672,1.38462,0.0352,0.02618,0.00018815,0.00018815,0.00018815
65,4539.33,1.19978,0.03963,0.01334,0.66291,0.60202,0.62387,0.41478,1.39471,0.03521,0.02654,0.0001832,0.0001832,0.0001832
66,4610.05,1.18488,0.03904,0.01316,0.66647,0.62094,0.62904,0.41837,1.39232,0.03497,0.02661,0.00017825,0.00017825,0.00017825
67,4676.36,1.19107,0.03936,0.01311,0.62945,0.62857,0.63169,0.42208,1.38717,0.03454,0.02636,0.0001733,0.0001733,0.0001733
68,4743.43,1.18564,0.03891,0.01336,0.60932,0.63603,0.63489,0.42081,1.39343,0.0345,0.02638,0.00016835,0.00016835,0.00016835
69,4812.26,1.18776,0.03877,0.01329,0.66796,0.63468,0.6374,0.42172,1.39989,0.03431,0.02678,0.0001634,0.0001634,0.0001634
70,4883.66,1.18718,0.03989,0.01336,0.66237,0.63164,0.63419,0.4193,1.39399,0.03497,0.02655,0.00015845,0.00015845,0.00015845
71,4953.29,1.18072,0.0393,0.01316,0.61201,0.64562,0.63095,0.41767,1.39361,0.03491,0.02672,0.0001535,0.0001535,0.0001535
72,5021.28,1.17278,0.03911,0.01323,0.63131,0.6285,0.63289,0.41621,1.39996,0.03474,0.02679,0.00014855,0.00014855,0.00014855
73,5088.42,1.17291,0.03928,0.01307,0.62237,0.63172,0.63544,0.41942,1.39626,0.03467,0.02651,0.0001436,0.0001436,0.0001436
74,5156.18,1.16679,0.0383,0.01288,0.63411,0.62841,0.63459,0.4219,1.39416,0.03449,0.02653,0.00013865,0.00013865,0.00013865
75,5223.78,1.17034,0.03901,0.01298,0.67813,0.61174,0.63246,0.42117,1.39207,0.03448,0.02649,0.0001337,0.0001337,0.0001337
76,5286.53,1.17061,0.03865,0.01297,0.65274,0.60559,0.63437,0.42172,1.38931,0.03438,0.02659,0.00012875,0.00012875,0.00012875
77,5350.91,1.16307,0.0384,0.01312,0.65022,0.612,0.63757,0.42659,1.39152,0.03379,0.02669,0.0001238,0.0001238,0.0001238
78,5414.26,1.15337,0.03789,0.01279,0.59209,0.63904,0.63276,0.42316,1.39763,0.03412,0.02674,0.00011885,0.00011885,0.00011885
79,5477.51,1.14522,0.03813,0.01271,0.63726,0.60928,0.63427,0.42397,1.38798,0.03433,0.02642,0.0001139,0.0001139,0.0001139
80,5540.82,1.14837,0.03714,0.01259,0.62978,0.61857,0.63685,0.42294,1.4019,0.03422,0.0268,0.00010895,0.00010895,0.00010895
81,5605.13,1.15837,0.03767,0.01284,0.6084,0.62777,0.63616,0.42565,1.39626,0.03388,0.02657,0.000104,0.000104,0.000104
82,5669.73,1.15548,0.03811,0.01302,0.6477,0.61823,0.63446,0.42225,1.39984,0.03397,0.02647,9.905e-05,9.905e-05,9.905e-05
83,5733.19,1.14723,0.03724,0.01284,0.5979,0.64807,0.63808,0.4264,1.39969,0.03324,0.02662,9.41e-05,9.41e-05,9.41e-05
84,5797.85,1.15797,0.03863,0.01321,0.65554,0.62836,0.63763,0.42531,1.39494,0.03347,0.02651,8.915e-05,8.915e-05,8.915e-05
85,5862.58,1.15665,0.03795,0.01272,0.65832,0.6278,0.63537,0.42149,1.40335,0.03359,0.02658,8.42e-05,8.42e-05,8.42e-05
86,5926.38,1.14207,0.03711,0.0127,0.64398,0.62715,0.63772,0.42585,1.40128,0.03351,0.02666,7.925e-05,7.925e-05,7.925e-05
87,5990.19,1.14444,0.03739,0.01289,0.63183,0.62716,0.6359,0.42401,1.3985,0.03406,0.02656,7.43e-05,7.43e-05,7.43e-05
88,6054.13,1.14233,0.03783,0.01279,0.59088,0.64223,0.63701,0.4279,1.39371,0.03354,0.02654,6.935e-05,6.935e-05,6.935e-05
89,6117.23,1.13391,0.03759,0.01243,0.66012,0.61045,0.63635,0.42836,1.39211,0.03359,0.02659,6.44e-05,6.44e-05,6.44e-05
90,6180.73,1.13591,0.03757,0.01257,0.62728,0.62795,0.63925,0.43171,1.39571,0.03318,0.02658,5.945e-05,5.945e-05,5.945e-05
91,6246.9,0.9991,0.0296,0.01331,0.62792,0.62811,0.63745,0.42481,1.4052,0.03331,0.02692,5.45e-05,5.45e-05,5.45e-05
92,6316.64,0.99979,0.02875,0.01324,0.63743,0.62354,0.63578,0.42584,1.41273,0.03279,0.02727,4.955e-05,4.955e-05,4.955e-05
93,6385.39,0.9955,0.0279,0.01301,0.64738,0.62192,0.63695,0.42498,1.40588,0.03283,0.0268,4.46e-05,4.46e-05,4.46e-05
94,6451.25,0.99116,0.02824,0.01293,0.65714,0.62403,0.63833,0.4291,1.39485,0.03257,0.02663,3.965e-05,3.965e-05,3.965e-05
95,6517.9,0.99119,0.02801,0.01306,0.66401,0.6224,0.64024,0.43147,1.39634,0.03252,0.02658,3.47e-05,3.47e-05,3.47e-05
96,6588.61,0.98487,0.02784,0.01275,0.66656,0.61682,0.64079,0.43234,1.39282,0.03245,0.02662,2.975e-05,2.975e-05,2.975e-05
97,6655.23,0.98209,0.02783,0.01274,0.66443,0.61999,0.64021,0.43101,1.39503,0.0326,0.02676,2.48e-05,2.48e-05,2.48e-05
98,6723.18,0.98129,0.02753,0.01273,0.65827,0.62351,0.64055,0.43217,1.3996,0.03234,0.02685,1.985e-05,1.985e-05,1.985e-05
99,6790.21,0.97857,0.02736,0.01283,0.64632,0.62695,0.64054,0.43252,1.39592,0.03243,0.02673,1.49e-05,1.49e-05,1.49e-05
100,6854.66,0.96695,0.0275,0.01245,0.6489,0.62872,0.64054,0.43235,1.401,0.03227,0.02686,9.95e-06,9.95e-06,9.95e-06
