epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.153,1.85916,2.82725,0.03247,0,0,0,0,0,0,0,0.000154797,0.000154797,0.000154797
2,188.896,1.49404,2.65762,0.01807,0,0,0,0,0,0,0,0.000307257,0.000307257,0.000307257
3,275.506,1.41214,2.11677,0.01481,0,0,0,0,0,0,0,0.000453434,0.000453434,0.000453434
4,362.836,1.3827,1.87199,0.01449,0,0,0,0,0,0,0,0.000447726,0.000447726,0.000447726
5,451.163,1.35437,1.71685,0.0141,0,0,0,0,0,0,0,0.000438301,0.000438301,0.000438301
6,539.685,1.3559,1.6333,0.01405,0,0,0,0,0,0,0,0.000428876,0.000428876,0.000428876
7,627.932,1.33515,1.54854,0.01376,0,0,0,0,0,0,0,0.000419451,0.000419451,0.000419451
8,716.124,1.33146,1.46733,0.01363,0,0,0,0,0,0,0,0.000410026,0.000410026,0.000410026
9,804.336,1.3216,1.44209,0.01362,0,0,0,0,0,0,0,0.000400602,0.000400602,0.000400602
10,892.412,1.3169,1.36508,0.01341,0,0,0,0,0,0,0,0.000391177,0.000391177,0.000391177
11,979.605,1.31296,1.28977,0.01339,0,0,0,0,0,0,0,0.000381752,0.000381752,0.000381752
12,1067.43,1.3224,1.23114,0.01332,0,0,0,0,0,0,0,0.000372327,0.000372327,0.000372327
13,1155.73,1.31615,1.18176,0.01304,0,0,0,0,0,0,0,0.000362902,0.000362902,0.000362902
14,1244.21,1.31202,1.14778,0.01331,0,0,0,0,0,0,0,0.000353478,0.000353478,0.000353478
15,1331.75,1.31687,1.14163,0.01333,0,0,0,0,0,0,0,0.000344053,0.000344053,0.000344053
16,1420.11,1.30915,1.10364,0.01299,0,0,0,0,0,0,0,0.000334628,0.000334628,0.000334628
17,1508.73,1.30343,1.0858,0.0129,0,0,0,0,0,0,0,0.000325203,0.000325203,0.000325203
18,1597.54,1.29539,1.04902,0.01307,0,0,0,0,0,0,0,0.000315778,0.000315778,0.000315778
19,1684.63,1.29126,1.04531,0.01286,0,0,0,0,0,0,0,0.000306354,0.000306354,0.000306354
20,1772.62,1.28107,1.02478,0.01287,0,0,0,0,0,0,0,0.000296929,0.000296929,0.000296929
21,1861.24,1.28571,1.00644,0.01289,0,0,0,0,0,0,0,0.000287504,0.000287504,0.000287504
22,1949.39,1.27763,0.98514,0.01259,0,0,0,0,0,0,0,0.000278079,0.000278079,0.000278079
23,2037.2,1.26661,0.99805,0.01265,0,0,0,0,0,0,0,0.000268654,0.000268654,0.000268654
24,2125.17,1.28839,0.98741,0.01265,0,0,0,0,0,0,0,0.00025923,0.00025923,0.00025923
25,2212.83,1.2687,0.96934,0.01269,0,0,0,0,0,0,0,0.000249805,0.000249805,0.000249805
