epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8863,1.331,3.22735,0.01347,0,0,0,0,0,0,0,0.000154797,0.000154797,0.000154797
2,89.94,1.2794,2.70438,0.01234,0,0,0,0,0,0,0,0.000309326,0.000309326,0.000309326
3,129.509,1.31157,2.16864,0.01287,0,0,0,0,0,0,0,0.000459666,0.000459666,0.000459666
4,176.079,1.31917,1.90189,0.01317,0,0,0,0,0,0,0,0.00045715,0.00045715,0.00045715
5,217.126,1.30917,1.7136,0.01312,0,0,0,0,0,0,0,0.000450867,0.000450867,0.000450867
6,265.079,1.31864,1.57317,0.01314,0,0,0,0,0,0,0,0.000444584,0.000444584,0.000444584
7,320.295,1.30014,1.44991,0.01298,0,0,0,0,0,0,0,0.000438301,0.000438301,0.000438301
8,360.685,1.29843,1.33035,0.01277,0,0,0,0,0,0,0,0.000432018,0.000432018,0.000432018
9,400.433,1.29717,1.28267,0.01289,0,0,0,0,0,0,0,0.000425734,0.000425734,0.000425734
10,440.266,1.29491,1.20972,0.01284,0,0,0,0,0,0,0,0.000419451,0.000419451,0.000419451
11,479.83,1.28027,1.15934,0.01266,0,0,0,0,0,0,0,0.000413168,0.000413168,0.000413168
12,519.668,1.28969,1.11473,0.01267,0,0,0,0,0,0,0,0.000406885,0.000406885,0.000406885
13,559.559,1.28568,1.06792,0.01247,0,0,0,0,0,0,0,0.000400602,0.000400602,0.000400602
14,599.876,1.28147,1.04528,0.01265,0,0,0,0,0,0,0,0.000394318,0.000394318,0.000394318
15,639.61,1.28247,1.03563,0.01268,0,0,0,0,0,0,0,0.000388035,0.000388035,0.000388035
16,679.719,1.28411,0.99494,0.01249,0,0,0,0,0,0,0,0.000381752,0.000381752,0.000381752
17,721.511,1.27802,0.97853,0.01238,0,0,0,0,0,0,0,0.000375469,0.000375469,0.000375469
18,761.714,1.27041,0.95821,0.01246,0,0,0,0,0,0,0,0.000369186,0.000369186,0.000369186
19,801.54,1.26338,0.94808,0.01231,0,0,0,0,0,0,0,0.000362902,0.000362902,0.000362902
20,841.347,1.26093,0.93053,0.01239,0,0,0,0,0,0,0,0.000356619,0.000356619,0.000356619
21,881.788,1.26463,0.91637,0.0125,0,0,0,0,0,0,0,0.000350336,0.000350336,0.000350336
22,921.773,1.26429,0.89878,0.01226,0,0,0,0,0,0,0,0.000344053,0.000344053,0.000344053
23,961.52,1.24883,0.89944,0.01231,0,0,0,0,0,0,0,0.00033777,0.00033777,0.00033777
24,1001.49,1.26696,0.89128,0.0121,0,0,0,0,0,0,0,0.000331486,0.000331486,0.000331486
25,1040.74,1.24978,0.87104,0.01235,0,0,0,0,0,0,0,0.000325203,0.000325203,0.000325203
26,1080.6,1.2543,0.86549,0.012,0,0,0,0,0,0,0,0.00031892,0.00031892,0.00031892
27,1120.52,1.26236,0.8522,0.01206,0,0,0,0,0,0,0,0.000312637,0.000312637,0.000312637
28,1160.7,1.25178,0.84962,0.0119,0,0,0,0,0,0,0,0.000306354,0.000306354,0.000306354
29,1200.66,1.24526,0.8475,0.01187,0,0,0,0,0,0,0,0.00030007,0.00030007,0.00030007
30,1240.99,1.25045,0.83403,0.01191,0,0,0,0,0,0,0,0.000293787,0.000293787,0.000293787
31,1280.87,1.24789,0.83009,0.01177,0,0,0,0,0,0,0,0.000287504,0.000287504,0.000287504
32,1321.05,1.2263,0.81621,0.01179,0,0,0,0,0,0,0,0.000281221,0.000281221,0.000281221
33,1361.2,1.23591,0.80455,0.01178,0,0,0,0,0,0,0,0.000274938,0.000274938,0.000274938
34,1401.1,1.22585,0.81715,0.01182,0,0,0,0,0,0,0,0.000268654,0.000268654,0.000268654
35,1441.11,1.23636,0.80777,0.01167,0,0,0,0,0,0,0,0.000262371,0.000262371,0.000262371
36,1481.08,1.23622,0.80983,0.01187,0,0,0,0,0,0,0,0.000256088,0.000256088,0.000256088
37,1520.75,1.22994,0.79837,0.01158,0,0,0,0,0,0,0,0.000249805,0.000249805,0.000249805
38,1560.84,1.23403,0.79964,0.01154,0,0,0,0,0,0,0,0.000243522,0.000243522,0.000243522
39,1600.36,1.22136,0.77769,0.0117,0,0,0,0,0,0,0,0.000237238,0.000237238,0.000237238
40,1639.94,1.22631,0.77707,0.01151,0,0,0,0,0,0,0,0.000230955,0.000230955,0.000230955
41,1679.74,1.22375,0.77438,0.01155,0,0,0,0,0,0,0,0.000224672,0.000224672,0.000224672
42,1719.78,1.20833,0.78077,0.01151,0,0,0,0,0,0,0,0.000218389,0.000218389,0.000218389
43,1759.36,1.21986,0.76927,0.01146,0,0,0,0,0,0,0,0.000212106,0.000212106,0.000212106
44,1799.08,1.22183,0.77317,0.0115,0,0,0,0,0,0,0,0.000205822,0.000205822,0.000205822
45,1839.45,1.21427,0.76778,0.01141,0,0,0,0,0,0,0,0.000199539,0.000199539,0.000199539
46,1879.23,1.19667,0.76241,0.01135,0,0,0,0,0,0,0,0.000193256,0.000193256,0.000193256
47,1919.42,1.2072,0.75186,0.01131,0,0,0,0,0,0,0,0.000186973,0.000186973,0.000186973
48,1959.48,1.20403,0.75772,0.01129,0,0,0,0,0,0,0,0.00018069,0.00018069,0.00018069
49,1999.06,1.18552,0.75013,0.01131,0,0,0,0,0,0,0,0.000174406,0.000174406,0.000174406
50,2040.43,1.20428,0.7417,0.0113,0,0,0,0,0,0,0,0.000168123,0.000168123,0.000168123
51,2080.57,1.20451,0.74732,0.01121,0,0,0,0,0,0,0,0.00016184,0.00016184,0.00016184
52,2120.7,1.20321,0.73649,0.01119,0,0,0,0,0,0,0,0.000155557,0.000155557,0.000155557
53,2160.85,1.19252,0.73677,0.0111,0,0,0,0,0,0,0,0.000149274,0.000149274,0.000149274
54,2200.69,1.20128,0.74305,0.01126,0,0,0,0,0,0,0,0.00014299,0.00014299,0.00014299
55,2240.65,1.18752,0.72545,0.01101,0,0,0,0,0,0,0,0.000136707,0.000136707,0.000136707
56,2280.37,1.19035,0.73026,0.01116,0,0,0,0,0,0,0,0.000130424,0.000130424,0.000130424
57,2320.53,1.20088,0.73468,0.01108,0,0,0,0,0,0,0,0.000124141,0.000124141,0.000124141
58,2360.1,1.18614,0.72989,0.011,0,0,0,0,0,0,0,0.000117858,0.000117858,0.000117858
59,2399.93,1.1918,0.73298,0.01101,0,0,0,0,0,0,0,0.000111574,0.000111574,0.000111574
60,2439.98,1.17256,0.71281,0.0111,0,0,0,0,0,0,0,0.000105291,0.000105291,0.000105291
61,2480.2,1.18537,0.72368,0.01095,0,0,0,0,0,0,0,9.9008e-05,9.9008e-05,9.9008e-05
62,2519.91,1.17695,0.71708,0.01095,0,0,0,0,0,0,0,9.27248e-05,9.27248e-05,9.27248e-05
63,2559.78,1.16495,0.71723,0.01101,0,0,0,0,0,0,0,8.64416e-05,8.64416e-05,8.64416e-05
64,2599.64,1.18247,0.72499,0.01083,0,0,0,0,0,0,0,8.01584e-05,8.01584e-05,8.01584e-05
65,2639.78,1.17815,0.72038,0.01079,0,0,0,0,0,0,0,7.38752e-05,7.38752e-05,7.38752e-05
66,2683.67,1.17305,0.62584,0.01277,0,0,0,0,0,0,0,6.7592e-05,6.7592e-05,6.7592e-05
67,2721.74,1.15709,0.60324,0.01246,0,0,0,0,0,0,0,6.13088e-05,6.13088e-05,6.13088e-05
68,2759.9,1.14859,0.5944,0.01239,0,0,0,0,0,0,0,5.50256e-05,5.50256e-05,5.50256e-05
69,2798.21,1.1535,0.59124,0.01219,0,0,0,0,0,0,0,4.87424e-05,4.87424e-05,4.87424e-05
70,2836.25,1.15024,0.59008,0.01209,0,0,0,0,0,0,0,4.24592e-05,4.24592e-05,4.24592e-05
71,2874.4,1.14523,0.5925,0.01228,0,0,0,0,0,0,0,3.6176e-05,3.6176e-05,3.6176e-05
72,2912.82,1.1427,0.58851,0.01206,0,0,0,0,0,0,0,2.98928e-05,2.98928e-05,2.98928e-05
73,2951.18,1.14229,0.58121,0.01199,0,0,0,0,0,0,0,2.36096e-05,2.36096e-05,2.36096e-05
74,2989.33,1.13178,0.58256,0.01193,0,0,0,0,0,0,0,1.73264e-05,1.73264e-05,1.73264e-05
75,3036.85,1.13578,0.57908,0.01188,0.70681,0.59415,0.62874,0.45277,1.38717,0.97175,0.01568,1.10432e-05,1.10432e-05,1.10432e-05
